time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1828	1.31207	5.19612	0.192841	0.134375	radar	4.97531	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4108	1.39357	5.17253	0.212274	0.145903	lidar	1.6323	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6507	1.46837	5.13151	0.228161	0.154046	radar	4.84064	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8794	1.50994	5.1082	0.230587	0.149751	lidar	1.30227	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1422	1.55918	5.12397	0.233688	0.145836	radar	1.45712	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4169	1.61392	5.14895	0.237687	0.142817	lidar	1.48056	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6524	1.66923	5.12073	0.243886	0.142398	radar	1.15684	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8842	1.73834	5.10569	0.254127	0.145113	lidar	0.575053	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1371	1.8201	5.12597	0.266256	0.148821	radar	1.28283	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3783	1.86236	5.11476	0.265476	0.142233	lidar	0.519654	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6305	1.92302	5.13136	0.269435	0.139385	radar	0.843125	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8356	2.04611	5.10251	0.29654	0.155858	lidar	4.1305	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0966	2.14255	5.14507	0.309051	0.158955	radar	3.70124	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.3032	2.27519	5.12128	0.336583	0.174869	lidar	3.5204	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4983	2.39554	5.05911	0.360929	0.188594	radar	12.2552	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7443	2.51819	5.07792	0.379603	0.19585	lidar	1.07186	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9688	2.61887	5.06104	0.392432	0.198704	radar	0.540525	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.197	2.77236	5.07373	0.419816	0.212581	lidar	1.70419	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4426	2.87498	5.10199	0.427545	0.209401	radar	1.05216	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6478	2.96977	5.07251	0.436809	0.208706	lidar	1.96504	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8791	3.1045	5.09605	0.454121	0.213541	radar	4.40478	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0877	3.29027	5.10493	0.488544	0.232576	lidar	3.00491	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.3066	3.43367	5.09679	0.508383	0.239896	radar	3.28751	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.5189	3.62437	5.11518	0.540671	0.256089	lidar	2.4623	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7341	3.74852	5.1051	0.551567	0.254852	radar	0.602472	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9502	3.91075	5.11715	0.572222	0.26112	lidar	0.50289	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1552	4.05777	5.0924	0.590509	0.266937	radar	2.30014	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.352	4.26009	5.10927	0.622535	0.281875	lidar	2.03765	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5642	4.4124	5.11417	0.636535	0.281842	radar	0.493344	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.7414	4.59747	5.10696	0.66335	0.29224	lidar	1.36973	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.912	4.77042	5.05318	0.690764	0.306252	radar	6.65411	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0785	5.00207	5.06977	0.729129	0.324726	lidar	2.98894	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.255	5.16425	5.04113	0.746979	0.327784	radar	2.03098	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.4128	5.36587	5.03759	0.775277	0.33747	lidar	1.12199	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5757	5.53099	4.99975	0.794108	0.341345	radar	3.80829	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7583	5.68966	4.99312	0.804144	0.335755	lidar	0.291078	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.9103	5.87882	4.96104	0.830049	0.345935	radar	2.73625	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0786	6.08481	4.97816	0.852286	0.349684	lidar	0.509547	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.2314	6.28458	4.97093	0.875707	0.355544	radar	1.22142	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.3544	6.52546	4.98103	0.912073	0.370362	lidar	2.17217	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4912	6.7314	4.96543	0.937431	0.377648	radar	1.06946	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.63	6.89975	4.93544	0.94984	0.37288	lidar	1.43863	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7761	7.10378	4.94249	0.967539	0.371689	radar	0.149157	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9558	7.27072	4.94003	0.968674	0.357757	lidar	2.40846	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0529	7.47606	4.89292	0.999963	0.372157	radar	5.70017	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.1475	7.73056	4.90984	1.0368	0.386482	lidar	2.14808	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2668	7.93925	4.90161	1.05681	0.387617	radar	0.276604	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.3462	8.16087	4.88424	1.08671	0.396228	lidar	2.44572	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.4438	8.37313	4.87359	1.10836	0.397494	radar	2.50767	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.5316	8.54388	4.81961	1.12331	0.394343	lidar	4.66006	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.6224	8.7571	4.80088	1.14695	0.399277	radar	1.01205	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7693	8.94548	4.79849	1.14857	0.384805	lidar	3.18102	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.845	9.16993	4.78102	1.17693	0.394559	radar	1.52851	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9677	9.39412	4.79977	1.1886	0.387957	lidar	2.07613	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	20.0195	9.61891	4.76736	1.22231	0.403328	radar	3.79555	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.1051	9.85357	4.77991	1.24237	0.403078	lidar	0.296164	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.165	10.0978	4.79215	1.26874	0.407427	radar	7.05226	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.2156	10.3578	4.81493	1.29866	0.414623	lidar	0.847163	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.2402	10.591	4.78789	1.33432	0.430215	radar	4.18372	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2979	10.856	4.82141	1.3591	0.432311	lidar	1.53623	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.3289	11.1055	4.82817	1.38768	0.438002	radar	5.12763	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3607	11.3467	4.82878	1.41267	0.440402	lidar	0.106188	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.3258	11.5882	4.78907	1.46422	0.471321	radar	14.15	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.389	11.8354	4.80899	1.47716	0.462745	lidar	3.20607	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.407	12.0704	4.81098	1.49698	0.457494	radar	2.92812	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.397	12.3482	4.84582	1.53066	0.465316	lidar	1.5289	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.3589	12.5846	4.81671	1.57413	0.487535	radar	5.46295	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3773	12.8309	4.82613	1.59244	0.482684	lidar	0.950306	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.364	13.0637	4.81111	1.62064	0.488606	radar	2.48308	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.3273	13.2868	4.79068	1.65045	0.493106	lidar	1.62193	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2875	13.5209	4.78333	1.68109	0.498623	radar	1.63774	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2647	13.778	4.80518	1.70496	0.497418	lidar	0.82891	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.2106	14.0069	4.78984	1.7392	0.508234	radar	1.74137	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1556	14.2601	4.80946	1.76859	0.510939	lidar	0.393213	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0842	14.4883	4.80089	1.80204	0.518606	radar	1.96076	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9804	14.7387	4.82381	1.8417	0.528703	lidar	2.25174	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.9094	14.9574	4.81133	1.86811	0.528034	radar	3.18716	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8683	15.1831	4.80312	1.88496	0.520893	lidar	1.27236	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7465	15.399	4.78634	1.93782	0.553219	radar	10.8396	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.7056	15.6018	4.75571	1.95197	0.543492	lidar	2.4987	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.6066	15.8105	4.7448	1.98337	0.548352	radar	1.62139	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.503	16.0248	4.7445	2.01246	0.549629	lidar	0.0530943	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3952	16.2329	4.74137	2.03923	0.547429	radar	1.46303	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2819	16.4168	4.71492	2.0692	0.549923	lidar	1.19379	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1604	16.6163	4.70993	2.10094	0.5551	radar	0.534741	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0316	16.822	4.71707	2.13029	0.556175	lidar	0.0609705	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.879	17.0181	4.7228	2.1752	0.577991	radar	8.09246	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
